"team_market.x","rank_Poll_1","rank_Poll_2","rank_Poll_3","rank_Poll_4","rank_Poll_5","rank_Poll_6","rank_Poll_7","rank_Poll_8","rank_Poll_9","rank_Poll_10","rank_Poll_11","rank_Poll_12","rating_Poll_1","rating_Poll_2","rating_Poll_3","rating_Poll_4","rating_Poll_5","rating_Poll_6","rating_Poll_7","rating_Poll_8","rating_Poll_9","rating_Poll_10","rating_Poll_11","rating_Poll_12","n_Poll_1","n_Poll_2","n_Poll_3","n_Poll_4","n_Poll_5","n_Poll_6","n_Poll_7","n_Poll_8","n_Poll_9","n_Poll_10","n_Poll_11","n_Poll_12","wins_Poll_1","wins_Poll_2","wins_Poll_3","wins_Poll_4","wins_Poll_5","wins_Poll_6","wins_Poll_7","wins_Poll_8","wins_Poll_9","wins_Poll_10","wins_Poll_11","wins_Poll_12","losses_Poll_1","losses_Poll_2","losses_Poll_3","losses_Poll_4","losses_Poll_5","losses_Poll_6","losses_Poll_7","losses_Poll_8","losses_Poll_9","losses_Poll_10","losses_Poll_11","losses_Poll_12","draws_Poll_1","draws_Poll_2","draws_Poll_3","draws_Poll_4","draws_Poll_5","draws_Poll_6","draws_Poll_7","draws_Poll_8","draws_Poll_9","draws_Poll_10","draws_Poll_11","draws_Poll_12","total_goals_Poll_1","total_goals_Poll_2","total_goals_Poll_3","total_goals_Poll_4","total_goals_Poll_5","total_goals_Poll_6","total_goals_Poll_7","total_goals_Poll_8","total_goals_Poll_9","total_goals_Poll_10","total_goals_Poll_11","total_goals_Poll_12"
"Clemson",1,1,1,3,4,3,7,7,9,10,8,7,1.94768895751957,2.22119028737331,2.39389466015943,2.24808582767259,2.06949956436444,2.31364085269166,2.05492576630721,2.13798065656342,2.07131854106398,2.20456271861165,2.26129259067111,2.45800587438321,2,4,6,8,9,11,12,13,15,16,17,23,2,4,6,7,7,9,9,10,11,12,13,16,0,0,0,1,2,2,3,3,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,2,7,15,22,26,26,30,30,33,37,42,44,51
"Georgetown",2,2,2,2,2,2,1,2,1,4,4,1,1.81812369214795,2.06031170340181,2.19653478905553,2.27135062146917,2.37059794286912,2.47941592179176,2.70603012707295,2.50036656074575,2.68773552404901,2.42455305147286,2.47294820596404,2.86548896099273,2,4,5,6,7,8,10,12,14,15,16,22,2,4,5,6,7,8,10,11,13,13,14,18,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,6,8,9,11,14,17,22,25,30,30,31,42
"Indiana",3,8,10,11,11,20,17,15,15,15,16,18,1.78361785438292,1.51310524755997,1.50413228709718,1.41994498839429,1.55379589629689,1.39448364706547,1.54969207490976,1.67143507490105,1.80906003108126,1.79182831604298,1.86291743569591,1.77027453359968,2,4,5,7,8,9,11,12,14,16,17,21,2,3,3,4,5,5,7,8,10,11,12,14,0,1,1,2,2,3,3,3,3,4,4,6,0,0,1,1,1,1,1,1,1,1,1,1,4,5,6,9,10,11,15,16,19,23,24,29
"Pittsburgh",4,5,3,5,3,4,4,6,5,5,3,4,1.77940768975147,1.70039060767481,2.01200636553313,1.91445313371743,2.07479932971375,2.26484481813576,2.32268905408632,2.15185681508889,2.26851522203381,2.40124986249755,2.50410561626789,2.6409351382373,2,4,6,7,8,10,11,12,14,15,16,20,1,2,4,4,5,7,8,8,9,10,11,13,1,2,2,3,3,3,3,4,4,4,4,5,0,0,0,0,0,0,0,0,1,1,1,2,8,11,16,17,19,26,29,29,36,40,42,52
"Marshall",5,3,5,4,6,6,5,4,3,2,6,13,1.66060789220251,1.76893281429087,1.90763530804769,1.98215056274386,1.97177007412742,2.12279687651019,2.28918551195221,2.42939455349303,2.53525134140802,2.62532270509224,2.40253289149219,1.92708602190201,2,4,5,7,8,10,11,13,14,15,16,18,1,2,3,4,4,6,7,9,10,11,11,11,1,1,1,1,1,1,1,1,1,1,2,4,0,1,1,2,3,3,3,3,3,3,3,3,8,15,16,20,20,23,26,28,30,34,35,37
"Missouri St.",6,10,11,8,8,7,6,5,6,3,2,5,1.62397050939067,1.34180967422236,1.41899732124853,1.60216049764387,1.66053131370227,1.90117929005296,2.08333435490785,2.16757680375729,2.22009871971612,2.45676871884646,2.51544865507863,2.47672782284475,1,2,3,5,6,8,10,11,12,14,15,18,1,1,2,4,5,7,9,10,11,13,14,16,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,10,14,21,22,23,29,31,35
"New Hampshire",7,4,4,1,1,1,2,1,2,1,1,3,1.56225603014179,1.71862831769412,1.94126007570812,2.29589969664306,2.50164898672884,2.61386740332254,2.62479429290914,2.59374783752019,2.67484707451053,2.84486535033004,2.84486535033004,2.7138609895778,2,4,6,8,10,11,13,14,15,17,17,21,2,4,6,8,10,11,12,12,13,15,15,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,2,2,2,3,6,9,16,23,26,31,32,33,39,39,47
"High Point",8,26,27,35,45,37,50,47,55,52,52,46,1.46002370994042,0.981206905207906,0.981206905207906,0.841740765906953,0.789551255488126,0.928642893678584,0.742937228758976,0.844657516196451,0.708975251494419,0.739136433955762,0.807019136352111,0.902114262122951,2,4,4,6,7,8,11,12,14,15,16,18,1,1,1,2,2,3,4,5,6,6,7,8,1,3,3,4,4,4,5,5,6,6,6,7,0,0,0,0,1,1,2,2,2,3,3,3,2,3,3,6,6,9,11,13,15,15,16,23
"Washington",9,7,6,6,5,5,3,3,4,8,5,2,1.41273148332359,1.58485719314493,1.74590164448663,1.86533368081092,1.98590600447666,2.14683615608762,2.35182522862586,2.45049324544503,2.30473118900905,2.26015385870863,2.47038275870791,2.79404126548272,2,3,4,6,7,9,11,12,13,14,16,22,2,3,4,6,7,9,11,12,12,12,14,18,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2,6,8,11,15,17,20,27,30,32,32,36,48
"Stanford",10,6,7,22,23,22,29,27,24,28,25,30,1.40965717556043,1.65739780014406,1.61353537312391,1.19988024765102,1.18051883447654,1.32361487890246,1.20648016293996,1.20779264072859,1.35370296771452,1.26549206598234,1.3671456892167,1.26639371127559,1,3,4,6,8,9,11,12,14,16,17,18,0,2,2,2,3,4,4,4,5,5,6,6,1,1,1,3,4,4,5,5,5,6,6,6,0,0,1,1,1,1,2,3,4,5,5,6,1,7,7,7,9,14,17,18,23,23,24,25
"Grand Canyon",11,15,14,10,9,11,8,11,10,9,10,11,1.30301201113448,1.25625297117981,1.38927329165636,1.46441045871204,1.56254983046275,1.71499040185163,2.00509963339323,1.89344089648861,2.0040856830461,2.23305989854411,2.12102229569227,2.00906135669095,2,4,5,6,7,9,11,12,14,16,17,20,2,3,4,5,6,8,10,10,12,14,14,15,0,1,1,1,1,1,1,2,2,2,3,4,0,0,0,0,0,0,0,0,0,0,0,1,5,6,7,10,11,17,28,29,34,37,38,44
"Seton Hall",12,9,8,13,29,34,52,46,62,53,68,66,1.29805352407824,1.41372206528066,1.57876169735233,1.39401286839281,1.03579907573561,1.03579907573561,0.718073730424145,0.874855435607111,0.603478740550578,0.73503682163246,0.599801518929747,0.599801518929747,2,4,6,7,9,9,11,13,15,16,17,17,1,2,4,4,4,4,4,5,5,6,6,6,0,0,0,1,3,3,5,5,7,7,8,8,1,2,2,2,2,2,2,3,3,3,3,3,4,10,17,19,22,22,24,25,26,29,29,29
"Wake Forest",13,12,21,16,26,31,21,14,17,17,18,17,1.23366857619685,1.31517143004021,1.11427796515225,1.31409369139015,1.10099127086254,1.08675760205167,1.36986171490975,1.68982519033124,1.60102832205541,1.71584452318259,1.72838729246904,1.8406310914019,2,3,4,6,8,10,12,14,15,16,18,21,1,2,2,4,4,5,7,9,9,10,11,13,1,1,2,2,3,4,4,4,5,5,6,7,0,0,0,0,1,1,1,1,1,1,1,1,2,4,4,8,9,14,19,29,31,33,38,43
"Campbell",14,16,18,15,18,18,18,12,13,13,13,12,1.17910835753647,1.19910418060087,1.14067045024019,1.31697247216048,1.43058089784422,1.42700203872132,1.54815564374656,1.76288415399198,1.92892742536861,1.9075090732153,1.97174352113365,1.97081899304919,2,4,6,8,9,11,12,14,16,17,18,21,1,2,3,5,6,7,8,10,12,12,13,15,1,1,2,2,2,3,3,3,3,3,3,4,0,1,1,1,1,1,1,1,1,2,2,2,4,10,14,21,24,27,33,37,43,43,44,55
"Saint Louis",15,18,22,19,12,12,10,8,8,7,7,9,1.10366643021855,1.18341131444302,1.11068050892101,1.27654700019861,1.55273571147117,1.68792963921897,1.89186127498296,1.99960401916402,2.14564864454375,2.26431043946373,2.33744389179019,2.37652417965156,2,4,6,7,9,10,12,13,14,15,16,21,2,3,3,4,6,7,9,10,11,12,13,16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,3,3,3,3,3,3,3,4,6,11,13,16,21,23,30,32,36,39,41,52
"LMU (CA)",16,11,9,7,7,8,9,20,28,23,21,23,1.09884106756208,1.34069790971374,1.5713531771659,1.82282546894254,1.94885041147006,1.83432063915282,1.89613484076684,1.47248495007385,1.20846081315489,1.41397059301273,1.51403716597739,1.47453134902543,2,4,6,8,9,10,11,13,14,16,17,18,1,3,5,7,8,8,9,9,9,11,12,12,0,0,0,0,0,1,1,3,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,2,3,6,11,13,14,14,16,17,17,21,22,22
"Kentucky",17,13,12,9,10,9,12,10,12,14,12,6,1.0894655273335,1.29513854464412,1.40812239549534,1.54020478750409,1.56203500132103,1.75530824579239,1.73569772570205,1.95791313607953,1.95952808514774,1.82226112788741,1.99714680400187,2.4580291504163,2,4,5,6,7,9,10,12,14,15,16,21,1,3,4,5,5,7,7,9,10,10,11,15,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,2,2,3,3,4,4,4,4,3,7,10,11,11,17,17,20,22,23,26,37
"Penn St.",18,22,25,20,31,23,22,36,39,34,32,24,1.08357543266724,1.03809488059117,1.00942006562143,1.23549757445046,1.02155026591524,1.30456725144146,1.36694208060843,1.05297810391349,1.04529256128268,1.12968585604168,1.22929696662996,1.40877401404973,2,4,6,8,9,11,12,14,16,17,18,21,1,2,3,5,5,7,8,8,9,10,11,13,0,1,2,2,3,3,3,5,6,6,6,7,1,1,1,1,1,1,1,1,1,1,1,1,4,8,10,16,16,19,21,22,26,28,30,37
"Oregon St.",19,25,19,27,25,21,19,16,14,12,11,10,1.00126907288459,1.01480053933179,1.13013974893205,1.1022833687911,1.1022833687911,1.34626479519907,1.46997827011185,1.65233365214387,1.8121468785224,2.02593254226353,2.06567772965014,2.36038115434626,2,4,5,6,6,8,10,11,12,14,16,20,2,3,4,4,4,6,7,8,9,11,12,14,0,1,1,1,1,1,1,1,1,1,2,2,0,0,0,1,1,1,2,2,2,2,2,4,7,9,11,12,12,18,21,25,28,31,34,40
"Quinnipiac",20,20,15,25,33,53,58,83,75,74,85,86,0.996644333048095,1.07870565439095,1.2943418637144,1.14036823239036,0.96502165175395,0.710716425933404,0.614786668886222,0.311005336085428,0.433709185280407,0.368803315912696,0.269149321562426,0.269149321562426,1,2,4,6,7,9,11,13,14,16,17,17,1,2,4,5,5,6,7,7,8,9,9,9,0,0,0,1,2,3,4,6,6,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,8,10,13,17,20,22,26,27,27
"Georgia St.",21,14,20,14,15,14,16,18,18,25,24,26,0.977430341707507,1.26119377551392,1.11833154451052,1.34017604818355,1.47930270724641,1.47930270724641,1.57575027924467,1.57575027924467,1.56171635180711,1.40399315278665,1.44828223302221,1.37841732423873,2,4,5,7,9,9,12,12,14,15,16,20,1,3,3,5,7,7,9,9,10,10,11,13,1,1,2,2,2,2,3,3,4,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,2,8,9,15,20,20,27,27,30,31,33,36
"West Virginia",22,21,17,12,13,19,28,26,23,19,17,14,0.921746816262922,1.07597623527747,1.15775245378731,1.39469776968614,1.54984420243864,1.39677377491549,1.2401649653801,1.23553508105854,1.36972733070842,1.6491745381273,1.82809984868269,1.91447310417222,2,4,5,7,8,10,11,13,14,16,17,21,2,3,4,5,6,6,6,7,8,10,11,12,0,0,0,0,0,0,1,2,2,2,2,3,0,1,1,2,2,4,4,4,4,4,4,6,4,7,8,13,17,18,18,20,23,30,32,35
"Hofstra",23,28,23,21,17,10,14,9,7,6,9,8,0.897913177812247,0.897913177812247,1.0888235756848,1.22715717729093,1.45202906033466,1.74075747425169,1.64050478843226,1.97335517709834,2.17390390773433,2.30738789525177,2.25673584321173,2.40365084163395,2,2,5,7,9,11,12,14,15,16,17,22,2,2,4,6,8,10,10,12,13,14,14,18,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,1,1,1,1,2,2,3,3,9,14,20,27,28,36,37,39,39,56
"North Carolina",24,17,16,29,24,29,32,28,25,22,23,27,0.888853023778025,1.19655354517951,1.24176351450252,1.00788039877181,1.12817896777011,1.14897043315736,1.13343570591278,1.19940338988026,1.31461420981579,1.43976674185669,1.48900781304916,1.33906745626402,2,4,6,7,8,10,12,14,15,16,18,20,1,3,4,4,5,6,7,8,9,10,11,11,0,0,1,2,2,3,4,5,5,5,6,7,1,1,1,1,1,1,1,1,1,1,1,2,8,14,15,15,17,22,24,26,28,31,33,34
