"team_market.x","rank_Poll_1","rank_Poll_2","rank_Poll_3","rank_Poll_4","rank_Poll_5","rank_Poll_6","rank_Poll_7","rating_Poll_1","rating_Poll_2","rating_Poll_3","rating_Poll_4","rating_Poll_5","rating_Poll_6","rating_Poll_7","n_Poll_1","n_Poll_2","n_Poll_3","n_Poll_4","n_Poll_5","n_Poll_6","n_Poll_7","wins_Poll_1","wins_Poll_2","wins_Poll_3","wins_Poll_4","wins_Poll_5","wins_Poll_6","wins_Poll_7","losses_Poll_1","losses_Poll_2","losses_Poll_3","losses_Poll_4","losses_Poll_5","losses_Poll_6","losses_Poll_7","draws_Poll_1","draws_Poll_2","draws_Poll_3","draws_Poll_4","draws_Poll_5","draws_Poll_6","draws_Poll_7","total_goals_Poll_1","total_goals_Poll_2","total_goals_Poll_3","total_goals_Poll_4","total_goals_Poll_5","total_goals_Poll_6","total_goals_Poll_7"
"Washington",1,1,1,1,1,1,1,2.93653203958962,3.11970806333475,2.9962009868587,3.20951362541402,3.35007424665387,3.48435891524274,3.67140491954415,2,4,5,7,8,10,12,2,4,4,6,7,9,11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,12,13,21,25,28,32
"Pittsburgh",2,3,3,3,3,6,7,2.85456558602821,2.78373282508064,2.88267071098231,2.92371144932188,2.7924242837841,2.62640521081281,2.58434543803246,2,4,5,7,8,9,11,2,3,4,5,5,5,5,0,1,1,1,2,3,3,0,0,0,1,1,1,3,5,11,12,18,19,20,23
"Georgetown",3,5,6,13,13,13,13,2.70243601523831,2.72336847014672,2.53928197152065,2.06757972437716,2.12713752154893,2.22531735241362,2.20999290292716,2,4,5,7,8,9,11,0,1,1,1,2,3,4,1,1,2,4,4,4,4,1,2,2,2,2,2,3,2,8,9,10,12,13,17
"Kentucky",4,2,2,2,2,2,2,2.67636050153256,2.93394265750878,2.91805825505153,2.98943618778101,3.21506091918824,3.34073282451247,3.37456428421234,2,4,5,7,8,9,10,2,4,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,9,10,14,19,22,28
"Clemson",5,4,4,4,7,7,8,2.62060230771243,2.72549971829346,2.84125751571504,2.70839807373499,2.52188224589938,2.57399119376414,2.43382295387267,2,4,6,8,9,10,12,2,4,6,7,7,8,8,0,0,0,1,2,2,3,0,0,0,0,0,0,1,5,10,14,19,20,21,23
"Missouri St.",6,6,5,5,6,4,4,2.56471338053105,2.58991193990766,2.70274130895379,2.56637183919308,2.5944533214783,2.66723023142803,2.84474783959137,2,4,5,7,8,9,10,1,2,3,4,5,6,7,0,0,0,1,1,1,1,1,2,2,2,2,2,2,4,7,9,16,20,23,25
"Oregon St.",7,10,13,12,12,15,17,2.38986688006264,2.16021518737768,2.00172248148761,2.22612321719571,2.22612321719571,2.07538471206928,1.94354569251582,2,3,4,6,6,8,10,1,1,1,3,3,4,4,0,1,2,2,2,3,3,1,1,1,1,1,1,3,2,2,3,6,6,7,10
"Hofstra",8,13,12,10,10,8,5,2.17572572299741,2.05363028116429,2.21522788772186,2.32548777621293,2.29906076745883,2.45201182671072,2.70497343719823,2,3,5,7,8,10,12,1,1,3,5,5,7,9,1,2,2,2,2,2,2,0,0,0,0,1,1,1,2,3,7,10,10,18,24
"Campbell",9,12,22,35,35,33,26,2.1284498694319,2.11547671924952,1.60690467919732,1.30474946588795,1.35189320204481,1.43393679860471,1.62182056562624,2,4,5,7,9,10,12,2,3,3,3,4,5,7,0,0,1,2,2,2,2,0,1,1,2,3,3,3,6,9,9,12,15,20,28
"New Hampshire",10,9,10,8,5,3,3,2.1272980994791,2.18677473086369,2.26755395446524,2.33976003690875,2.62689209843278,2.71983038520606,2.84844500871444,2,3,5,6,8,9,11,0,1,2,3,5,6,8,2,2,3,3,3,3,3,0,0,0,0,0,0,0,1,2,5,6,14,16,19
